group,id,name,slug,articles,note,articles_sample
浩劫餘生,cmsyqgp0i00d904jnvhmx9yy7,浩劫餘生,浩劫餘生,4,,軟體世界 28 p.90 浩劫餘生人物修改法 / 軟體世界 36 p.30 浩劫餘生物品改法補遺 / 軟體世界 99 p.37 浩劫餘生 …共 4 篇
浩劫餘生,cmsys3a3e008704jxaqoya1fu,浩劫餘生 (Wasteland),浩劫餘生-wasteland,1,Wasteland,軟體世界 32 p.104 浩劫餘生物品修改法
火星之旅,cmsyrh7lm000504lfrl5e7yre,火星之旅,火星之旅,7,,軟體世界 30 p.38 火星之旅屬性修改篇 / 軟體世界 30 p.87 火星之旅新手上機篇 / 軟體世界 33 p.38 火星之旅—物品修改法 …共 7 篇
火星之旅,cmsyrzhqw003004jx2y28undd,火星之旅 (Mars Saga),火星之旅-mars-saga,2,Mars Saga,軟體世界 31 p.61 火星之旅完全攻略 (-) / 軟體世界 32 p.62 火星之旅完全攻略（二）
火星大懸案,cmt1mj8tx002l04jue29v96lq,火星大懸案,火星大懸案,4,,軟體世界 36 p.57 火星大懸案完全攻略(一) / 軟體世界 37 p.50 火星大懸案攻略完結篇 / 電腦玩家 5 p.28 火星大懸案 …共 4 篇
火星大懸案,cmsysv1kk000h04joxf4n24t1,火星大懸案 (Martian Memorandum),火星大懸案-martian-memorandum,1,Martian Memorandum,軟體世界 33 p.8 火星大懸案
炸彈小子,cmswqdmjj00ep04l6ktuua52k,炸彈小子,炸彈小子,13,,軟體世界 27 p.32 炸彈小子過關路線( + ) / 軟體世界 13 p.73 炸彈小子 / 軟體世界 16 p.25 炸彈小子過關路線(一) …共 13 篇
炸彈小子,cmsx2xzuq00cq04ldwno8a88d,炸彈小子 (Bomberman),炸彈小子-bomberman,1,Bomberman,軟體世界 17 p.51 炸彈小子過關路線(二)
烏龍吸血鬼,cmsyqgoxm00cn04jnn2dyfftm,烏龍吸血鬼,烏龍吸血鬼,1,,軟體世界 28 p.82 烏龍吸血鬼修改篇
烏龍吸血鬼,cmsys3a2g007z04jx91gklan1,烏龍吸血鬼 (Vampire's Curse),烏龍吸血鬼-vampire-s-curse,1,Vampire's Curse,軟體世界 32 p.99 烏龍吸血鬼無敵版
燃燒的野球ii,cmsvuqwvd001304lex4gp9div,燃燒的野球 II,燃燒的野球-ii,1,,軟體世界 10 p.15 燃燒的野球 II - 野球再燃燒 BASEBALL II
燃燒的野球ii,cmsybel5g003i04jvgpw105gw,燃燒的野球II,燃燒的野球ii,1,,軟體世界 20 p.94 燃燒的野球II攻略小技巧
燃燒的野球iii,cmt9n7n4k00b004jm3bb2oldw,燃燒的野球 III (Hardball III),燃燒的野球-iii-hardball-iii,2,Hardball III,軟體世界 41 p.17 燃燒的野球 III / 軟體世界 41 p.98 燃燒的野球 III
燃燒的野球iii,cmt9rt69b000504jscorxx5ts,燃燒的野球III,燃燒的野球iii,2,,軟體世界 42 p.4 燃燒的野球III / 軟體世界 43 p.51 燃燒的野球III心得篇
猴島小英雄ii,cmt1hzsbx003h04ld3tgk285l,猴島小英雄 II,猴島小英雄-ii,1,,軟體世界 35 p.70 猴島小英雄 II 特別報導
猴島小英雄ii,cmt1mvacz006204junhy5mrt5,猴島小英雄II,猴島小英雄ii,1,,軟體世界 37 p.14 猴島小英雄II
獸王記,cmsumll7f007f04jowor6k80t,獸王記,獸王記,3,,星際遊樂雜誌 3 大型電玩快訊 / 軟體世界 27 p.88 如何保有多個獸王記遊戲進度 / 軟體世界 25 p.98 獸王記修改法
獸王記,cmsx2xzn900ay04ldbh5o7krl,獸王記 (Altered Beast),獸王記-altered-beast,1,Altered Beast,軟體世界 17 p.7 獸王記
瑪雅迷蹤,cmswq0tb4006s04l6vbcsm3v1,瑪雅迷蹤,瑪雅迷蹤,1,,軟體世界 12 p.6 瑪雅迷蹤
瑪雅迷蹤,cmsvv0lop001704jrim37xsnz,瑪雅迷蹤 (Left Behind Maya),瑪雅迷蹤-left-behind-maya,1,Left Behind Maya,軟體世界 11 p.77 瑪雅迷蹤 LEFT BEHIND MAYA
異域之門,cmt1hzs81002c04ldgwpxkmc8,異域之門,異域之門,9,,軟體世界 35 p.32 異域之門 / 軟體世界 37 p.1 異域之門 / 軟體世界 37 p.32 異域之門心得篇 …共 9 篇
異域之門,cmsys39pv005204jx4u8yjfjr,異域之門 (Gateway to the Savage Frontier),異域之門-gateway-to-the-savage-frontier,1,Gateway to the Savage Frontier,軟體世界 32 p.1 異域之門
百戰天龍,cmsvomib1004o04jp2hsrt1wv,百戰天龍,百戰天龍,48,,軟體世界 29 p.94 百戰天龍 / 軟體世界 6 p.35 百戰天龍 / 軟體世界 8 p.26 百戰天龍 …共 48 篇
百戰天龍,cmsx2xzw000d204ld2xpnumjl,百戰天龍 (DuckTales),百戰天龍-ducktales,1,DuckTales,軟體世界 17 p.64 百戰天龍—一秘技天地
神劍封魔,cmsyew015000t04l14qj8wran,神劍封魔,神劍封魔,4,,軟體世界 29 p.99 神劍封魔攻略更正 / 軟體世界 24 p.13 神劍封魔 / 軟體世界 26 p.47 神劍封魔完全攻略 …共 4 篇
神劍封魔,cmsybv6ls00by04l2xmv115io,神劍封魔 (Zeliard),神劍封魔-zeliard,1,Zeliard,軟體世界 23 p.61 神劍封魔
空中英雄長空會戰,cmt1mj8it000d04ju87j981c1,空中英雄長空會戰,空中英雄長空會戰,2,,軟體世界 36 p.8 空中英雄長空會戰 / 軟體世界 36 p.20 空中英雄長空會戰特別報導
空中英雄長空會戰,cmt1hzs4u001k04ld4qcxnlzf,空中英雄－長空會戰,空中英雄-長空會戰,1,,軟體世界 35 p.15 空中英雄－長空會戰
空戰奇兵,cmsylqogd003204jittbmq4q3,空戰奇兵,空戰奇兵,3,,軟體世界 25 p.96 空戰奇兵避彈法 / 軟體世界 38 p.37 空戰奇兵戰機修改篇 / 軟體世界 146 p.60 空戰奇兵
空戰奇兵,cmsybv6f500ad04l25j9ujw4r,空戰奇兵 (Air Strike),空戰奇兵-air-strike,1,Air Strike,軟體世界 23 p.12 空戰奇兵
童話仙境,cmtb4t95g000l04l7kxsczbid,童話仙境,童話仙境,1,,電腦玩家 5 p.18 童話仙境
童話仙境,cmsys39t0005e04jxf6glg9zj,童話仙境 (The Manhole),童話仙境-the-manhole,1,The Manhole,軟體世界 32 p.7 童話仙境
第一滴血iii,cmsvv0llf000o04jrp7ik1l02,第一滴血 III (Rambo III),第一滴血-iii-rambo-iii,1,Rambo III,軟體世界 11 p.6 第一滴血 III RAMBO III
第一滴血iii,cmswuue00001s04l405y4k7q3,第一滴血III,第一滴血iii,4,,軟體世界 14 p.23 第一滴血III / 軟體世界 15 p.21 第一滴血III 第二關完全攻略 / 軟體世界 16 p.29 第一滴血III…第三關完全攻略 …共 4 篇
築城大師,cmsyrzhie001904jxkbruumf1,築城大師,築城大師,3,,軟體世界 31 p.18 築城大師 / 軟體世界 33 p.46 築城大師金錢修改法 / 電腦玩家 3 p.30 築城大師
築城大師,cmsyrh813003904lf815jxikg,築城大師 (CASTLES),築城大師-castles,1,CASTLES,軟體世界 30 p.6 築城大師 (CASTLES)
紅爵士,cmsyew001000l04l1hdgylwvp,紅爵士,紅爵士,3,,軟體世界 24 p.10 紅爵士 / 電腦玩家 6 p.52 Red Baron 紅爵士 / 軟體世界 50 p.12 紅爵士資料片——任務製造器（Red Baron Expansion Disk Mission Builder）
紅爵士,cmsys3a1t007v04jx5rj24fj9,紅爵士 (Red Baron),紅爵士-red-baron,1,Red Baron,軟體世界 32 p.98 紅爵士－空戰英雄必殺法
納粹飛行秘史,cmt1hzs7o002804ld54ry9yc4,納粹飛行秘史,納粹飛行秘史,12,,軟體世界 35 p.31 納粹飛行秘史 / 軟體世界 37 p.8 納粹飛行秘史 / 軟體世界 37 p.35 納粹飛行秘史新手上機篇 …共 12 篇
納粹飛行秘史,cmsyrh85r004504lfjqlp7vpm,納粹飛行秘史 (The Secret Weapons of the Luftwaffe),納粹飛行秘史-the-secret-weapons-of-the-luftwaffe,4,The Secret Weapons of the Luftwaffe,軟體世界 30 p.13 納粹飛行秘史 (The Secret Weapons of the Luftwaffe) / 軟體世界 31 p.11 納粹飛行秘史 / 軟體世界 32 p.12 納粹飛行秘史 …共 4 篇
紗之器,cmswuudvg001304l4snuiqyev,紗之器,紗之器,2,,軟體世界 14 p.14 紗之器 / 軟體世界 15 p.20 代碼：冰人、亞瑟王傳奇與紗之器
紗之器,cmsx2xzsd00c604ldjt1zwl6y,紗之器 (The Legend of the Mystical Ninja),紗之器-the-legend-of-the-mystical-ninja,1,The Legend of the Mystical Ninja,軟體世界 17 p.28 紗之器完全攻略
終極戰士ii,cmsyqgojn009n04jni39dt5rq,終極戰士 II,終極戰士-ii,2,,軟體世界 28 p.1 終極戰士 II / 軟體世界 30 p.45 終極戰士 II 無敵版
終極戰士ii,cmsyrzhna002904jx6c774cj3,終極戰士 II (Predator 2),終極戰士-ii-predator-2,1,Predator 2,軟體世界 31 p.53 終極戰士 II 一魔王安息法
聖戰奇兵,cmsvoibo0000u04jpahg219xg,聖戰奇兵,聖戰奇兵,6,,軟體世界 5 p.12 聖戰奇兵－印第安那．瓊斯重現江湖 / 軟體世界 6 p.11 聖戰奇兵 / 軟體世界 8 p.6 聖戰奇兵動作版 …共 6 篇
聖戰奇兵,cmsybokb1007p04l2dhkf5oqr,聖戰奇兵 (Conan the Barbarian),聖戰奇兵-conan-the-barbarian,1,Conan the Barbarian,軟體世界 22 p.92 聖戰奇兵動作版防彈衣篇
臉譜方塊,cmsyqnpl6002h04i5uhscplf4,臉譜方塊,臉譜方塊,1,,軟體世界 29 p.36 臉譜方塊技巧篇
臉譜方塊,cmsx2xzoq00ba04ld7moz6dnn,"臉譜方塊 (Faces, Tris III)",臉譜方塊-faces-tris-iii,1,"Faces, Tris III",軟體世界 17 p.11 臉譜方塊
英雄傳奇,cmswq0tdi007d04l6dnphtdiv,英雄傳奇,英雄傳奇,2,,軟體世界 12 p.16 英雄傳奇 / 軟體世界 13 p.44 英雄傳奇I訓練課程
英雄傳奇,cmsvv0lni000z04jr6m8ayl9x,英雄傳奇 (Hero's Quest),英雄傳奇-hero-s-quest,1,Hero's Quest,軟體世界 11 p.68 英雄傳奇 HERO'S QUEST
藍十字勳章,cmsyrh7sa001g04lf1mt9eqt0,藍十字勳章,藍十字勳章,1,,軟體世界 30 p.46 藍十字勳章武器修改法
藍十字勳章,cmsybv6dv00a304l2xqr38ap9,藍十字勳章 (Blue Max),藍十字勳章-blue-max,1,Blue Max,軟體世界 23 p.8 藍十字勳章
蘿拉推理系列匕首疑雲,cmt9n7n2u00ao04jmit35ipyr,蘿拉推理系列—匕首疑雲 (The Dagger of Amon Ra),蘿拉推理系列-匕首疑雲-the-dagger-of-amon-ra,1,The Dagger of Amon Ra,軟體世界 41 p.14 蘿拉推理系列—匕首疑雲
蘿拉推理系列匕首疑雲,cmt9rt6sd002w04jskyq6sgvo,蘿拉推理系列：匕首疑雲,蘿拉推理系列-匕首疑雲,3,,軟體世界 42 p.88 蘿拉推理系列一匕首疑雲 / 軟體世界 43 p.15 蘿拉推理系列—匕首疑雲 / 軟體世界 44 p.17 蘿拉推理系列－匕首疑雲
裝甲雄師,cmt03mnrd003u04l512bjawz7,裝甲雄師,裝甲雄師,1,,軟體世界 34 p.103 裝甲雄師——挑戰禁衛部隊
裝甲雄師,cmsyrzhow002l04jxxql5szxt,裝甲雄師 (Armored Fist),裝甲雄師-armored-fist,1,Armored Fist,軟體世界 31 p.54 裝甲雄師秘技篇
親愛的我被電視吸走了,cmsylqo41000j04ji5ag5kvco,親愛的，我被電視吸走了！,親愛的-我被電視吸走了,1,,軟體世界 25 p.8 親愛的，我被電視吸走了！
親愛的我被電視吸走了,cmsybok5n006004l29xpo1mx3,親愛的，我被電視吸走了！ (Altered Destiny),親愛的-我被電視吸走了-altered-destiny,1,Altered Destiny,軟體世界 22 p.16 親愛的，我被電視吸走了！
警察故事iii,cmsys39v4006104jx38ktkl0c,警察故事 III (Police Quest 3: The Kindred),警察故事-iii-police-quest-3-the-kindred,1,Police Quest 3: The Kindred,軟體世界 32 p.15 警察故事 III
警察故事iii,cmt1hzsd5003u04lder0aju32,警察故事III,警察故事iii,3,,軟體世界 35 p.90 警察故事III完全攻略(一) / 軟體世界 36 p.73 警察故事III完全攻略(二) / 軟體世界 37 p.57 警察故事III攻略完結篇
警察故事3陰謀,cmsysv1nh001104jo16tjpskt,警察故事3—陰謀 (Police Quest 3: The Kindred),警察故事3-陰謀-police-quest-3-the-kindred,1,Police Quest 3: The Kindred,軟體世界 33 p.14 警察故事3—陰謀
警察故事3陰謀,cmt03mn8u000a04l535m4ump8,警察故事3－陰謀,警察故事3-陰謀,1,,軟體世界 34 p.6 警察故事3－陰謀(Police Quest 3: The Kindred)
變形金剛,cmsvpx59e000v04ld47hd59wl,變形金剛,變形金剛,1,,軟體世界 8 p.8 變形金剛
變形金剛,cmsybokbf007t04l2lbfvnchk,變形金剛 (Transformers),變形金剛-transformers,1,Transformers,軟體世界 22 p.92 變形金剛資料修改
賭城大觀,cmsyq9fme003x04jnaxzq8z2z,賭城大觀,賭城大觀,1,,軟體世界 27 p.14 賭城大觀( TRUMP CASTLE II )
賭城大觀,cmsyrzhpf002p04jx7m5k74rr,賭城大觀 (Casino),賭城大觀-casino,1,Casino,軟體世界 31 p.56 賭城大觀增錢術
迷宮動動腦,cmt03mnik002304l5tjuki0pq,迷宮動動腦,迷宮動動腦,1,,軟體世界 34 p.32 迷宮動動腦時間不減&過關密碼
迷宮動動腦,cmsyrzhcp000a04jxt1vd5e0t,迷宮動動腦 (Chip Challenge),迷宮動動腦-chip-challenge,1,Chip Challenge,軟體世界 31 p.6 迷宮動動腦
通天蜘蛛人,cmsyqgovz00c904jn2kj71upj,通天蜘蛛人,通天蜘蛛人,2,,軟體世界 28 p.74 通天蜘蛛人母片濃縮法 / 軟體世界 28 p.90 通天蜘蛛人直奔結局
通天蜘蛛人,cmsybok0v004s04l2zqcsonzb,通天蜘蛛人 (The Amazing Spider-Man),通天蜘蛛人-the-amazing-spider-man,1,The Amazing Spider-Man,軟體世界 22 p.1 通天蜘蛛人
醫生也瘋狂ii,cmsyqgopp00aw04jnv82mpbj4,醫生也瘋狂 II,醫生也瘋狂-ii,1,,軟體世界 28 p.19 醫生也瘋狂 II
醫生也瘋狂ii,cmsyq9fj7003d04jnq5q01s8m,醫生也瘋狂II,醫生也瘋狂ii,1,,軟體世界 27 p.4 醫生也瘋狂II - 腦科篇(LIFE & DEATH II - THE BRAIN)
銀河帝國傳,cmsyq9fid003504jn9k2gb2w9,銀河帝國傳,銀河帝國傳,5,,軟體世界 27 p.8 銀河帝國傳 / 軟體世界 28 p.17 銀河帝國傳 / 軟體世界 30 p.39 銀河帝國傳——平撫民怨法 …共 5 篇
銀河帝國傳,cmsyrzhpz002t04jxry57eyge,銀河帝國傳 (Galactic Empires),銀河帝國傳-galactic-empires,1,Galactic Empires,軟體世界 31 p.57 銀河帝國傳技巧一、二談
銀河飛將,cmsybi8df000v04l24yjk6o3e,銀河飛將,銀河飛將,19,,軟體世界 21 p.10 銀河飛將 / 軟體世界 21 p.18 銀河飛將 / 軟體世界 26 p.92 銀河飛將同伴復活術與勳章修改法 …共 19 篇
銀河飛將,cmsyrzhlu001y04jxmf0o1bl9,銀河飛將 (Wing Commander),銀河飛將-wing-commander,2,Wing Commander,軟體世界 31 p.49 銀河飛將一修改篇 PART II / 軟體世界 31 p.51 銀河飛將一防護罩裝甲大公開
銀色匕首之謎,cmsybekxr001z04jvf8jvkx4o,銀色匕首之謎,銀色匕首之謎,5,,軟體世界 20 p.33 怪物寶典 / 軟體世界 21 p.23 由銀色匕首之謎踏入 RPG 的世界 / 軟體世界 21 p.31 改變控制鍵之補充說明 …共 5 篇
銀色匕首之謎,cmsx2xzp700be04lds8zt31uu,銀色匕首之謎 (Secret of Silver Blade),銀色匕首之謎-secret-of-silver-blade,2,Secret of Silver Blade,軟體世界 17 p.12 銀色匕首之謎 / 軟體世界 17 p.21 銀色匕首之謎
鐵血傭兵,cmt03mni0001z04l5rwoeeux7,鐵血傭兵,鐵血傭兵,3,,軟體世界 34 p.30 鐵血傭兵屬性修改篇 / 軟體世界 35 p.82 鐵血傭兵完全攻略(一) / 軟體世界 37 p.42 鐵血傭兵攻略完結篇
鐵血傭兵,cmsysv1jz000d04jo7sx7ae9m,鐵血傭兵 (Hard Nova),鐵血傭兵-hard-nova,1,Hard Nova,軟體世界 33 p.5 鐵血傭兵
鐵路大亨,cmsyew02g001304l1wqd550i6,鐵路大亨,鐵路大亨,11,,軟體世界 27 p.101 鐵路大亨資金修改法 / 軟體世界 27 p.102 鐵路大亨價格戰爭必勝法 / 軟體世界 29 p.99 鐵路大亨神祕車站 …共 11 篇
鐵路大亨,cmsybv6g400al04l26t9mbpis,鐵路大亨 (Railroad Tycoon),鐵路大亨-railroad-tycoon,2,Railroad Tycoon,軟體世界 23 p.14 鐵路大亨 / 軟體世界 32 p.98 鐵路大亨－討價還價
雙截龍ii,cmsvuqwtg000p04lesa83s82n,雙截龍 II,雙截龍-ii,1,,軟體世界 10 p.12 雙截龍 II - 復仇記 DOUBLE DRAGON II
雙截龍ii,cmsx2unnl002604ldqe5irny6,雙截龍II,雙截龍ii,2,,軟體世界 15 p.40 雙截龍II攻略地圖 / 軟體世界 18 p.66 雙截龍II無敵修改法
雪山競技,cmtb7seqt001404laqw7bzqc3,雪山競技,雪山競技,1,,電腦玩家 6 p.46 雪山競技
雪山競技,cmsysv1li000l04jobmf1znjl,雪山競技 (The Games: Winter Challenge),雪山競技-the-games-winter-challenge,1,The Games: Winter Challenge,軟體世界 33 p.9 雪山競技
風神傳承,cmsylqoc5001x04ji56drj75m,風神傳承,風神傳承,3,,軟體世界 25 p.30 風神傳承攻略 / 軟體世界 26 p.91 風神傳承人數修改法 / 軟體世界 30 p.46 風神傳承敵人消失法
風神傳承,cmsybv6fm00ah04l2ir4b9zfz,風神傳承 (Storm Lord),風神傳承-storm-lord,1,Storm Lord,軟體世界 23 p.13 風神傳承
風行者,cmsvuqwsu000k04lesc5qzp2e,風行者,風行者,1,,軟體世界 10 p.11 風行者 WIND WALKER
風行者,cmsx2xzz900du04ldc1f1syw7,風行者 (Windwalker),風行者-windwalker,1,Windwalker,軟體世界 17 p.69 風行者修改篇
風雲霸主,cmta06a0t000z04jrjwsjizfc,風雲霸主,風雲霸主,6,,軟體世界 43 p.14 風雲霸主 / 軟體世界 47 p.73 風雲霸主必殺四招 / 軟體世界 44 p.4 風雲霸主 …共 6 篇
風雲霸主,cmt9n7mxt009l04jmfka9qkn4,風雲霸主 (Power Monger),風雲霸主-power-monger,1,Power Monger,軟體世界 41 p.1 封面強片：風雲霸主
飛狼突擊隊,cmt8znytt001g04jy3vvbnfzy,飛狼突擊隊,飛狼突擊隊,4,,軟體世界 38 p.37 空戰奇兵戰機修改篇 / 軟體世界 41 p.43 飛狼突擊隊—偷「機」法 / 軟體世界 42 p.32 飛狼突擊隊必勝法 …共 4 篇
飛狼突擊隊,cmsyrh80q003504lfct37btjk,飛狼突擊隊 (ARMOR ALLEY),飛狼突擊隊-armor-alley,1,ARMOR ALLEY,軟體世界 30 p.5 飛狼突擊隊 (ARMOR ALLEY)
魔戒少年,cmsylqo5c000p04jizdrxro9t,魔戒少年,魔戒少年,10,,軟體世界 25 p.10 魔戒少年 / 軟體世界 28 p.74 魔戒少年抽換磁片不抓狂 / 軟體世界 28 p.82 魔戒少年屬性修改法 …共 10 篇
魔戒少年,cmsys39yy007604jxiwlfdqvk,魔戒少年 (The Hobbit),魔戒少年-the-hobbit,1,The Hobbit,軟體世界 32 p.75 魔戒少年完全攻略（一）
魔戒少年ii,cmsyrh86q004f04lfuhplexaw,魔戒少年 II (The Lord of The Rings: VOL. II The Two Towers),魔戒少年-ii-the-lord-of-the-rings-vol-ii-the-two-towers,1,The Lord of The Rings: VOL. II The Two Towers,軟體世界 30 p.15 魔戒少年 II (The Lord of The Rings: VOL. II The Two Towers)
魔戒少年ii,cmta1ag71004p04jwolyn8q7n,魔戒少年Ⅱ,魔戒少年ii,4,,軟體世界 47 p.100 魔戒少年 II / 軟體世界 48 p.72 魔戒少年II——雙塔記完全攻略（下） / 軟體世界 44 p.18 魔戒少年II－雙塔記 …共 4 篇
魔水晶,cmt9rt6bv000b04js4yp098dw,魔水晶,魔水晶,4,,軟體世界 42 p.8 魔水晶 / 軟體世界 42 p.40 魔水晶 / 軟體世界 42 p.94 魔水晶 …共 4 篇
魔水晶,cmt9n7n5f00b804jmgzeszhal,魔水晶 (The Four Crystals of Trazere),魔水晶-the-four-crystals-of-trazere,1,The Four Crystals of Trazere,軟體世界 41 p.19 魔水晶
魔法門ii,cmsvoexk2005504l85lg1wnsi,魔法門 II,魔法門-ii,6,,軟體世界 4 p.4 魔法門 II / 軟體世界 5 p.50 魔法門 II 完全攻略（一） / 軟體世界 6 p.40 魔法門Ⅱ攻略(二) …共 6 篇
魔法門ii,cmsvv0lu8002a04jra77lyk96,魔法門 II (Might and Magic II),魔法門-ii-might-and-magic-ii,1,Might and Magic II,軟體世界 11 p.120 魔法門 II 補充（一）、（二）
魔獸紀元,cmt1mvael006l04ju98qyauk5,魔獸紀元,魔獸紀元,2,,軟體世界 37 p.24 魔獸紀元修改篇 / 電腦玩家 4 p.55 魔獸紀元
魔獸紀元,cmsyrzhe1000h04jxg0ao8xgg,魔獸紀元 (Tunnels & Trolls),魔獸紀元-tunnels-trolls,1,Tunnels & Trolls,軟體世界 31 p.9 魔獸紀元
魔眼殺機,cmsyqgomy00ac04jnh4utvi37,魔眼殺機,魔眼殺機,10,,軟體世界 28 p.13 魔眼殺機 / 軟體世界 30 p.38 魔眼殺機抽換磁片不抓狂 / 軟體世界 33 p.48 魔眼殺機無敵版 …共 10 篇
魔眼殺機,cmsys39xc006o04jxq1yf5m6z,魔眼殺機 (Eye of the Beholder),魔眼殺機-eye-of-the-beholder,2,Eye of the Beholder,軟體世界 32 p.47 魔眼殺機無敵程式 / 軟體世界 32 p.56 魔眼殺機完全攻略（二）
魔眼殺機ii,cmt9n7n4100aw04jmuwlnpr7m,魔眼殺機 II (Eye of the Beholder II),魔眼殺機-ii-eye-of-the-beholder-ii,1,Eye of the Beholder II,軟體世界 41 p.16 魔眼殺機 II 中文版
魔眼殺機ii,cmta1ag7g004s04jwln5u34t6,魔眼殺機Ⅱ,魔眼殺機ii,6,,電腦玩家 7 p.65 魔眼殺機II / 軟體世界 51 p.40 魔眼殺機II 直殺大魔王 / 軟體世界 44 p.14 魔眼殺機II－中文版 …共 6 篇
黑暗之池,cmt1mj8ky000r04jup8i0jifh,黑暗之池,黑暗之池,7,,軟體世界 36 p.13 黑暗之池 / 軟體世界 39 p.14 黑暗之池 (Pool of Darkness) / 軟體世界 40 p.16 黑暗之池 …共 7 篇
黑暗之池,cmt9n7n0o00aa04jm6prtt6xx,黑暗之池 (Pool of Darkness),黑暗之池-pool-of-darkness,2,Pool of Darkness,軟體世界 41 p.11 黑暗之池 / 軟體世界 41 p.64 黑暗之池初期冒險
黑武士,cmt03mngx001r04l5x1896mg9,黑武士,黑武士,3,,軟體世界 34 p.27 黑武士——無敵武士 / 軟體世界 42 p.32 黑武士快速過關法 / 電腦玩家 5 p.35 黑武士
黑武士,cmsys39ur005x04jxgwgiwo9s,黑武士 (Blade Warrior),黑武士-blade-warrior,1,Blade Warrior,軟體世界 32 p.14 黑武士
